calle;X;Y;;
CONDE DE ALTEA;39.46595574588940;-0.368356265704213;;
ROIG DE CORELLA;39.45967629345050;-0.384005741176315;;
JESUS;39.46023495999810;-0.388558435994905;;
CIRILO AMOROS;39.46750424546210;-0.371154320826486;;
GORGOS;39.47621476061880;-0.351798206819719;;
SO-ADOR;39.53893050689210;-0.403924488586285;;
ALBERIQUE;39.46644824410550;-0.388019585713441;;
MICER RABASA;39.45666997698040;-0.387551058030849;;
LIBRERO ESCLAPES;39.49754203512380;-0.375302645416175;;
CONDE DE SALVATIERRA;39.46866810494680;-0.367417645744770;;
CONDE DE SALVATIERRA;39.46875892573340;-0.367481019284112;;
PRIMADO REIG;39.48619025993570;-0.365768986905821;;
MONESTIR DE POBLET;39.48491623312880;-0.394790230686940;;
JOSE MARIA MORTES LERMA;39.46289452536390;-0.403659502601100;;
PEDRO III EL GRANDE;39.46199978037200;-0.370292608469711;;
BARON DE CORTES;39.46197055418900;-0.371914239680307;;
SECANET;39.50053581055290;-0.422692908639148;;
PIE DE LA CRUZ;39.47313413183990;-0.380083030941664;;
JOAQUIN COSTA;39.46611628543350;-0.367090009152478;;
CONDE DE TRENOR;39.47890185472800;-0.375663601576063;;
BLANQUERIAS;39.47933697977260;-0.376522213381454;;
SALVADOR GINER;39.48020322218340;-0.379892324420195;;
DOCTOR SANCHIS BERGON;39.47856803876950;-0.386301070140364;;
SAN MIGUEL;39.47754619357870;-0.380290191983659;;
DOCTOR COLLADO;39.47425170662320;-0.377922416494223;;
APARISI Y GUIJARRO;39.47509197436640;-0.371647974217692;;
ALFONSO EL MAGNANIMO;39.47257889479990;-0.370701865963665;;
AYUNTAMIENTO;39.46966225948500;-0.375674430904159;;
POETA ALBEROLA;39.46922784361280;-0.393103807150796;;
VERA;39.48107489100210;-0.358650401303350;;
COFRENTES;39.48579049614570;-0.365963318499414;;
ALBEROLA;39.45460275683980;-0.370388825641397;;
ADOR;39.42888053622410;-0.362478904156801;;
PINTOR FERRANDIS;39.47194911846930;-0.329149041148949;;
SAN PIO X;39.44562010657600;-0.389203286062577;;
SAGUNTO;39.48599933858420;-0.374595853328571;;
DEMOCRACIA;39.47342632183430;-0.400553941750362;;
CIRILO AMOROS;39.46656089863300;-0.373172645008606;;
SEGORBE;39.46541515791370;-0.376261249149455;;
CASTELLON;39.46524015601510;-0.376120532213736;;
MANUEL SANCHIS GUARNER;39.45729980876890;-0.375353617218331;;
CRUZ DEL CAgAMELAR;39.46791117432160;-0.331779066315936;;
MEDITERRANEO;39.46779053719280;-0.329985353032998;;
MEDITERRANEO;39.46777257207450;-0.331193604703279;;
DOCTOR VICENTE ZARAGOZA;39.48517022644830;-0.363174221381167;;
CIUDAD DE MULA;39.47402538407810;-0.353400673136473;;
NARANJOS;39.48001872317440;-0.346695000464195;;
MANUEL BROSETA I PONT (IL.LUSTRE CATEDRATIC);39.47877576049290;-0.342385809048514;;
NARANJOS;39.47836501543480;-0.340963391613403;;
ROJAS CLEMENTE;39.47314623210730;-0.385483993195952;;
BACHILLER;39.48245470047680;-0.363295452695911;;
SAN JUAN DE LA PEeA;39.49606135907220;-0.370432396401792;;
SEVILLA;39.46380003058420;-0.374011962754712;;
CAUDETE;39.30950935846930;-0.317649568050733;;
FRANCISCO SEMPERE;39.46098543935920;-0.371156122288846;;
FRANCISCO SEMPERE;39.46047793552250;-0.370679348631880;;
XATIVA;39.46782817428990;-0.378442427474639;;
VICENTE SANCHO TELLO;39.46937223258090;-0.355808448967393;;
BURJASOT;39.49509726343010;-0.396281223931821;;
BURJASOT;39.49451900344790;-0.395565963046367;;
BURJASOT;39.49390378313330;-0.395045097674058;;
BURJASOT;39.49327838768580;-0.394279889814155;;
BURJASOT;39.49247472626420;-0.393443419766653;;
BURJASOT;39.49160170440080;-0.392537682961359;;
BURJASOT;39.49106806184410;-0.392103447113564;;
BURJASOT;39.48910869539930;-0.390131795863265;;
GORGOS;39.47632959492070;-0.351285921509118;;
SERPIS;39.47612271731090;-0.349670279403971;;
PLATA;39.45744632926600;-0.361793712579182;;
PLATA;39.45713578537140;-0.362523564647949;;
ALFONSO EL MAGNANIMO;39.47272389817410;-0.370490755232890;;
SERPIS;39.47422416279260;-0.342686650423409;;
SERPIS;39.47525521706820;-0.346192952910559;;
HONDURAS;39.47426919491300;-0.344395680837733;;
RAMIRO DE MAEZTU;39.46737512895760;-0.348137131756213;;
ALMACERA;39.45273890532660;-0.391732883014932;;
JERONIMA GALES (IMPRESSORA);39.45169205067580;-0.391550219300723;;
JERONIMA GALES (IMPRESSORA);39.45029167024660;-0.392316995121649;;
PRIMERO DE MAYO;39.44978351006110;-0.391803556028036;;
PRIMERO DE MAYO;39.44951600341540;-0.391079112679379;;
PRIMERO DE MAYO;39.44949800677250;-0.390300350351923;;
EOLO;39.47126059711210;-0.357418791928721;;
TRES CRUCES;39.46815136087150;-0.405713884885103;;
TETUAN;39.47479578878400;-0.369873561023252;;
SAN VICENTE MARTIR;39.46741636951390;-0.380271583977199;;
FERRER Y BIGNE;39.52723874967090;-0.385678415813634;;
JOAQUIN COSTA;39.46572619019140;-0.366816198824914;;
JUAN XXIII;39.49079761140190;-0.382475538999598;;
AVELLANAS;39.47443825526930;-0.374270686771911;;
PEREZ BAYER;39.46982331018680;-0.371522477826562;;
RAMON DE CASTRO;39.46357456446880;-0.389062717386344;;
DOCTOR NICASIO BENLLOCH;39.49201054042050;-0.396764371311223;;
POETA SERRANO CLAVERO;39.49162011488100;-0.389538374280827;;
REVERENDO JOSE NOGUERA;39.44369497138660;-0.392342431412288;;
PINTOR MATARANA;39.49293325172790;-0.393535604938515;;
JOSE AGUILAR;39.46279664856040;-0.341381593798228;;
DEMOCRACIA;39.47397461706720;-0.397828794478222;;
EMILIO BARO;39.48635357456870;-0.361482500078134;;
MAXIMILIANO THOUS;39.48767180444560;-0.374432999980055;;
HERMANOS VILLALONGA;39.48382862794620;-0.357648833813234;;
MOLINA DEL PALAU;39.45446498226000;-0.370662255126279;;
PERIODISTA GIL SUMBIELA;39.49223782367020;-0.383509758906874;;
AMADO GRANELL MESADO (MILITAR);39.45984549828370;-0.365324996103434;;
ALBA;39.43539151129140;-0.391899287393902;;
DAMA DE ELCHE;39.46277021395390;-0.342769955925528;;
MASCARON;39.27912291732850;-0.277269360572141;;
FUENTE DE SAN LUIS;39.45648448992610;-0.371686785159364;;
ELIAS TORMO;39.50098739780120;-0.419478819532592;;
SALAMANCA;39.46734531220210;-0.365152378073787;;
DANIEL BALACIART;39.47968650381420;-0.356420319772748;;
ERUDITO ORELLANA;39.47094714160430;-0.387485094316938;;
JOAQUIN BENLLOCH;39.45220457386760;-0.375548198121159;;
LEOPOLDO PILES ROS (PROFESSOR);39.46347901531470;-0.397465864219206;;
COTANDA;39.47100885122660;-0.376881151244450;;
RODRIGO BOTET;39.47128632171380;-0.375365747377395;;
LEONES;39.46495668338540;-0.348655626996540;;
DOCTOR MANUEL CANDELA;39.46678518532470;-0.350582975471309;;
BOLBAITE;39.48218287055280;-0.327885970708326;;
CAMPAMENTO;39.50035048304790;-0.425352134490916;;
CONDE DE ALTEA;39.46693538503030;-0.365728569982998;;
ALMAZORA;39.48450343852600;-0.371055083448233;;
ROGER DE LAURIA;39.46912308876570;-0.374413167383832;;
LERIDA;39.48375611120150;-0.377889564564486;;
ENRIQUE NAVARRO;39.48439447770010;-0.356863395177485;;
ACTOR LLORENS;39.46809055828920;-0.354870011663159;;
FUENTE DE SAN LUIS;39.45452737080910;-0.371567258492407;;
JOSE BALLESTER GOZALVO;39.48283352561350;-0.325034421345570;;
RODRIGO DE PERTEGAS;39.46174089672660;-0.344286763332196;;
VICENTE BARRERA CAMBRA;39.48073003901990;-0.357301801256721;;
SAN VICENTE MARTIR;39.47192377557950;-0.377083906029996;;
CATALU;39.47860103259540;-0.354218052526453;;
POETA QUINTANA;39.47116625081510;-0.370578698528523;;
CALLOSA DaEN SARRIA;39.46163973017940;-0.387645955539460;;
CID;39.46777237601050;-0.393552745278316;;
ENGUERA;39.46647143205420;-0.394729644738988;;
CAMBRILS;39.49489022732420;-0.379922228204132;;
RAFAEL TENES ESCRICH;39.49911547815700;-0.417690415822833;;
