JOAN BAPTISTE MUDOZ;39.46356268;-0.353906097
FILIPINAS;39.45864864;-0.376810466
AMADO GRANELL MESADO (MILITAR);39.45793135;-0.36396741
CIUDAD DE MULA;39.47452078;-0.354700213
ESCALANTE;39.46766087;-0.330944205
MATIAS PERELLO;39.46168607;-0.367155178
BLANQUERIAS;39.47933698;-0.376522213
GUILLEM DE CASTRO;39.47452378;-0.38406258
SERPIS;39.47422416;-0.34268665
PERIODISTA GIL SUMBIELA;39.49284103;-0.389583155
SECANET;39.50053581;-0.422692909
BURRIANA;39.46434673;-0.368482926
BARRACA;39.46387115;-0.329941922
FELIP MARIA GARIN;39.46816343;-0.35949621
CAMPANAR;39.48689576;-0.390205336
PLATA;39.45713579;-0.362523565
BARRACA;39.46539487;-0.329647715
SAN CLEMENTE;39.49018907;-0.402368816
FELIX DEL RIO (ACTIVISTA VEANAL);39.49117959;-0.383474179
DOCTOR WAKSMAN;39.45681044;-0.374562638
COFRENTES;39.4857905;-0.365963318
JERONIMA GALES (IMPRESSORA);39.45029167;-0.392316995
SAN JOSE DE PIGNATELLI;39.49119585;-0.383868095
EOLO;39.47034573;-0.355200634
NA ROBELLA;39.4505319;-0.372324469
VEINTICINCO DE ABRIL;39.47044577;-0.398268535
ALICANTE;39.46508562;-0.377285191
GIORGETA;39.45690423;-0.383036366
MALVARROSA;39.48407148;-0.32779488
FELIPE VALLS;39.50302512;-0.419886501
ALMAZORA;39.48450344;-0.371055083
GUILLEM DE CASTRO;39.47740622;-0.383929841
MARQUES DE SOTELO;39.46879899;-0.377026091
PEDREGUER;39.45402588;-0.37515218
ANGEL GUIMERA;39.47028007;-0.38564045
RUGAT;39.46929484;-0.352567488
BLASCO IBArEZ;39.47883669;-0.362981261
RIO;39.4217866;-0.340555703
CID;39.46777238;-0.393552745
REY DON JAIME;39.47678431;-0.381233605
MAESTRO AGUILAR;39.46108444;-0.370128007
PUERTO RICO;39.46143061;-0.375415742
TETUAN;39.47479579;-0.369873561
QUART;39.47607224;-0.382056258
PUERTO;39.46761283;-0.358082971
ALFONSO EL MAGNANIMO;39.4727239;-0.370490755
SANTANDER;39.45432195;-0.38941886
PECHINA;39.47913545;-0.385328063
PECHINA;39.47558512;-0.394564255
ISABEL LA CATOLICA;39.46926082;-0.370717522
COLON;39.46832002;-0.373047633
TIRSO DE MOLINA;39.47847976;-0.39264194
CONSERVA;39.46619415;-0.344041112
JESUS;39.46130992;-0.387470076
JOSE BALLESTER GOZALVO;39.48283353;-0.325034421
TOMAS DE VILLARROYA;39.44783699;-0.387868282
DEMOCRACIA;39.47406145;-0.39601028
RODRIGO DE PERTEGAS;39.46134779;-0.342973727
SAN FRANCISCO DE BORJA;39.46629997;-0.385780121
FRANCIA;39.46044954;-0.351929707
PADRE LUIS NAVARRO;39.46718658;-0.329905856
SUECA;39.46222551;-0.375684065
REGNE DE VALENCIA;39.46438949;-0.370329596
BURJASOT;39.49106806;-0.392103447
LLANTERNERS;39.46264315;-0.408898322
VALENCIA CLUB DE FUTBOL;39.47475192;-0.359879565
SAN VICENTE MARTIR;39.46741637;-0.380271584
MUSICO CABANILLES;39.44467775;-0.389800576
PRIMERO DE MAYO;39.44978351;-0.391803556
BURJASOT;39.494519;-0.395565963
JOAQUIN COSTA;39.46340129;-0.365180455
JUAN DE GARAY;39.45463528;-0.394633581
GONZALO RAMIRO PEDRER;39.48957328;-0.37901776
GAYANO LLUCH;39.49107005;-0.380686736
SAN PIO X;39.44562011;-0.389203286
PERIS CELDA;39.49890124;-0.394956137
VALLE DE LA BALLESTERA;39.48009541;-0.396068852
SAGASTA;39.46980332;-0.373142839
DEMOCRACIA;39.47334674;-0.40038644
CIRILO AMOROS;39.46837259;-0.369101551
SAN VICENTE MARTIR;39.47192378;-0.377083906
DOCTOR VICENTE ZARAGOZA;39.4840843;-0.360147398
CONSTITUCION;39.48341436;-0.378807916
AMADO GRANELL MESADO (MILITAR);39.45756452;-0.363718998
DUQUE DE GAETA;39.46539381;-0.350124392
JESUS;39.46678917;-0.383018494
PUERTO;39.46772432;-0.359053315
PADRE RICO;39.47191885;-0.389031728
JACINTO BENAVENTE;39.46801481;-0.363878716
VICENTE BARRERA CAMBRA;39.48073004;-0.357301801
MEDITERRANEO;39.46779054;-0.329985353
PRIMERO DE MAYO;39.449516;-0.391079113
CONDE DE TRENOR;39.47890185;-0.375663602
LERIDA;39.48375611;-0.377889565
DOCTOR VICENTE ZARAGOZA;39.48517023;-0.363174221
AUSIAS MARCH;39.45312709;-0.373450945
MARQUES DEL TURIA;39.46568899;-0.372063058
PERE MARIA ORTS I BOSCH (HISTORIADOR);39.47019014;-0.414513496
COLON;39.46876637;-0.372412403
DOCTOR SANCHIS BERGON;39.47856804;-0.38630107
PEDRO III EL GRANDE;39.4629913;-0.367947168
SAN VICENTE FERRER;39.47383929;-0.372705714
LUZ CASANOVA;39.48964423;-0.372819989
CIUDADELA;39.47549802;-0.369497568
PEDRO ALEIXANDRE;39.46097277;-0.363920628
OEST;39.47266718;-0.379669998
LORIGUILLA;39.48968656;-0.386238814
GUILLEM DE CASTRO;39.47740752;-0.383924596
OLIVERETA;39.47239568;-0.396213743
MAXIMILIANO THOUS;39.48760291;-0.373175835
DENIA;39.46204536;-0.377351245
ALEMANIA;39.48106565;-0.361821607
PADRE VICAS;39.49414015;-0.370571709
DOCTOR MONSERRAT;39.47557969;-0.384710468
MARVA;39.46395398;-0.38445551
PERIS Y VALERO;39.46222855;-0.363408839
SALAMANCA;39.46734531;-0.365152378
MARIANO DE CAVIA;39.45320483;-0.403156432
PUERTO RICO;39.46196723;-0.374137731
REINA;39.4658657;-0.329137384
JACOMART;39.49683951;-0.376227825
SO-ADOR;39.53893051;-0.403924489
CARLOS CERVERA;39.46327467;-0.372170218
FRANCISCO SEMPERE;39.46098544;-0.371156122
EMILIO BARO;39.48761317;-0.361012759
CARRICOLA;39.45253822;-0.38694125
SERPIS;39.47525522;-0.346192953
SALVADOR LLUCH;39.45868345;-0.36735676
LITERATO AZORIN;39.45924716;-0.376856483
PADRE VICAS;39.49456287;-0.370199228
TORRETA DE MIRAMAR;39.48762327;-0.362718536
DOCTOR JUAN REGLA;39.47361969;-0.358794134
BEATO GALVEZ;39.46430445;-0.383374813
CID;39.46862746;-0.397552756
DOCTOR NICASIO BENLLOCH;39.4876257;-0.389095699
CISCAR;39.46749006;-0.366691315
PIE DE LA CRUZ;39.47313413;-0.380083031
MONCADA;39.49133934;-0.378820334
ERUDITO ORELLANA;39.47093501;-0.387361606
MARQUES DEL TURIA;39.46601997;-0.371280002
JOAQUIN NAVARRO;39.45271081;-0.38540745
JUMILLA;39.46727256;-0.404739815
HERNAN CORTES;39.46704527;-0.370561006
HONORATO JUAN;39.46479298;-0.386627098
TAMARINDOS;39.47823297;-0.402317553
JERONIMO MUgOZ;39.45865691;-0.385443086
COLON;39.4711086;-0.369442656
TORRENTE;39.46165136;-0.402943504
ALBACETE;39.46410976;-0.383335178
RAFAEL TENES ESCRICH;39.49911548;-0.417690416
ISAAC PERAL;39.45971191;-0.339099848
VALLE DE LA BALLESTERA;39.47849508;-0.399224364
CARRASQUETA;39.49415923;-0.395454925
MATIAS PERELLO;39.46085378;-0.368997985
CADIZ;39.46060688;-0.372640277
CIRILO AMOROS;39.46770346;-0.370684375
DOCTOR ROYO VILANOVA;39.4437212;-0.391590433
PEDRO CABANES;39.49473975;-0.375989059
PROFESOR BELTRAN BAGUENA;39.48063301;-0.389264807
RUZAFA;39.46446606;-0.373422411
LITERATO GABRIEL MIRO;39.47179977;-0.39151645
DENIA;39.46329717;-0.374206487
JOAQUIN BALLESTER;39.48445774;-0.386310569
MENENDEZ Y PELAYO;39.47934017;-0.36101383
PERIS Y VALERO;39.46180529;-0.363929506
MENENDEZ Y PELAYO;39.47977836;-0.362490804
ALEJANDRA SOLER (MESTRA);39.47747689;-0.382666627
SAN JOSE DE CALASANZ;39.46640994;-0.387173379
JUAN RAMON JIMENEZ;39.45524743;-0.376224416
FELIX PIZCUETA;39.46688983;-0.373066368
REGNE DE VALENCIA;39.46458344;-0.372246229
GENERAL SAN MARTIN;39.46519036;-0.374325796
CALVO ACACIO;39.45338985;-0.39154253
SERRANO MORALES;39.46950449;-0.365158177
PINTOR MATARANA;39.49331114;-0.39292984
PARRA;39.48306705;-0.39632933
MANUEL SANCHIS GUARNER;39.45729981;-0.375353617
SAGUNTO;39.48599934;-0.374595853
CAMPOS CRESPO;39.45652265;-0.390877025
