id;latitud_gps;longitud_gps;random
11202;39.461;-0.343;0.339357686
11236;39.465;-0.35;0.772883113
6279;39.454;-0.404;0.031825559
3314;39.465;-0.379;0.382631332
11925;39.446;-0.333;0.651302117
4377;39.479;-0.394;0.934509214
969;39.478;-0.383;0.458388304
6068;39.456;-0.403;0.225332037
7990;39.468;-0.394;0.719964985
12459;39.449;-0.378;0.433686181
207;39.474;-0.383;0.307553977
5828;39.434;-0.351;0.41191499
4316;39.484;-0.379;0.152011667
3511;39.47;-0.392;0.056268671
3475;39.469;-0.39;0.133949753
9848;39.471;-0.358;0.778965679
9689;39.485;-0.356;0.268677672
12513;39.451;-0.378;0.303292238
3701;39.474;-0.394;0.01611709
4853;39.474;-0.364;0.683630147
2771;39.469;-0.381;0.498734518
10844;39.466;-0.338;0.35658285
10542;39.465;-0.349;0.942416806
10887;39.47;-0.342;0.797194033
2027;39.459;-0.365;0.591497032
13273;39.479;-0.417;0.542429713
12066;39.49;-0.385;0.077211515
64;39.471;-0.38;0.752684177
4447;39.487;-0.38;0.686790597
13173;39.474;-0.417;0.122933134
11465;39.466;-0.355;0.294289923
9903;39.47;-0.352;0.85978442
8675;39.462;-0.395;0.965509831
6969;39.481;-0.401;0.077125178
7921;39.445;-0.392;0.00879623
1220;39.471;-0.369;0.410718562
5722;39.451;-0.36;0.988761246
9;39.471;-0.379;0.902022306
2441;39.457;-0.367;0.903991222
2723;39.461;-0.386;0.681281779
2927;39.455;-0.387;0.776405026
8358;39.47;-0.394;0.993883304
1208;39.471;-0.367;0.420699264
2988;39.463;-0.386;0.321114369
8190;39.47;-0.401;0.825657861
9027;39.497;-0.377;0.143580112
12292;39.496;-0.391;0.443707722
7062;39.485;-0.4;0.318075334
12980;39.478;-0.417;0.74713221
1706;39.463;-0.365;0.363833693
11857;39.443;-0.337;0.811062448
1214;39.471;-0.367;0.118274974
11829;39.443;-0.337;0.49864736
11759;39.461;-0.338;0.691128226
10565;39.474;-0.342;0.772409334
60;39.471;-0.38;0.072405162
533;39.469;-0.378;0.117156188
6843;39.479;-0.401;0.737294751
2845;39.461;-0.387;0.120500058
373;39.469;-0.377;0.551109756
6546;39.49;-0.401;0.506665117
5979;39.46;-0.401;0.068768939
5207;39.464;-0.333;0.194990201
4263;39.481;-0.374;0.474125026
10236;39.471;-0.351;0.417607413
6244;39.47;-0.407;0.291005086
10411;39.47;-0.337;0.577797951
11803;39.46;-0.34;0.031555045
126;39.476;-0.381;0.924835922
5589;39.455;-0.359;0.890335663
4816;39.473;-0.358;0.420970989
772;39.473;-0.369;0.728621165
12686;39.493;-0.394;0.94840806
12254;39.498;-0.381;0.259324471
10274;39.47;-0.356;0.25464934
4884;39.48;-0.361;0.125621132
3571;39.474;-0.392;0.329291545
6320;39.471;-0.411;0.468801618
7046;39.479;-0.398;0.273868511
1864;39.468;-0.364;0.340798187
6071;39.46;-0.394;0.441705598
3966;39.489;-0.389;0.876379025
7012;39.492;-0.395;0.186855832
2622;39.466;-0.381;0.111541347
4330;39.491;-0.376;0.497395684
10894;39.467;-0.35;0.25011192
