GUILLEM DE CASTRO;-0.3840668990378166; 39.474.524.849.583.800,00 
GUILLEM DE CASTRO;-0.3840755693518355; 3.947.665.841.901.760,00 
GUILLEM DE CASTRO;-0.38392984111304485; 3.947.740.622.006.410,00 
REQUENA;-0.3800145540790117; 3.946.998.545.357.410,00 
VALENCIA CLUB DE FUTBOL;-0.35987956484138955; 3.947.475.191.538.440,00 
NAVARRO REVERTER;-0.36647682359017897; 394.710.445.302.825,00 
JOSE BALLESTER GOZALVO;-0.3248796954248993; 3.946.954.390.677.800,00 
LITERATO AZORIN;-0.376856482934502; 3.945.924.715.634.170,00 
CARTEROS;-0.3894248022556523; 3.944.847.537.221.320,00 
TOMAS DE VILLARROYA;-0.3878682819290914; 3.944.783.698.919.510,00 
CASTELL DE POP;-0.3342895831020827; 39.448.367.346.627.800,00 
PARQUE NAZARET;-0.3329668512059119; 394.488.191.142.851,00 
JESUS;-0.38835690846612164; 3.946.059.901.863.020,00 
LORENZO SALOM;-0.38609027855944755; 39.456.773.291.765.900,00 
SAN VICENTE MARTIR;-0.38387527801365995; 394.557.705.544.307,00 
JOAQUIN NAVARRO;-0.3870044678667672; 3.945.291.248.411.670,00 
LEPANTO;-0.3861421625113259; 3.947.403.806.330.190,00 
JOAQUIN NAVARRO;-0.3854074503179968; 39.452.710.806.217.600,00 
ZORRILLA;-0.36684474893589686; 3.944.363.550.424.380,00 
PUERTO DE SANTA MARIA;-0.39972585873582694; 3.948.466.329.696.870,00 
MOSSEN CUENCA;-0.3389051223900046; 3.942.231.927.277.000,00 
XATIVA;-0.37945341706939684; 39.468.086.862.528.700,00 
GUILLEM DE CASTRO;-0.38010987544778446; 3.946.822.131.844.880,00 
PADILLA;-0.3789308630383905; 3.946.988.813.551.990,00 
PADILLA;-0.37931343218205316; 3.947.003.930.073.120,00 
PUERTO;-0.33798902290303573; 3.946.146.452.795.070,00 
OLTA;-0.3755231902291722; 3.945.254.079.482.110,00 
OLTA;-0.37662241764210164; 394.527.400.580.886,00 
OLTA;-0.37773324532115704; 3.945.263.543.494.570,00 
DOLORES MARQUES;-0.3623316088874284; 39.487.463.164.189.200,00 
SAN VICENTE MARTIR;-0.38046252842154055; 3.946.717.312.971.140,00 
CONDE DE ALTEA;-0.36835626570421315; 3.946.595.574.588.940,00 
ROIG DE CORELLA;-0.384005741176315; 39.459.676.293.450.500,00 
JESUS;-0.38855843599490547; 3.946.023.495.999.810,00 
CIRILO AMOROS;-0.3711543208264863; 39.467.504.245.462.100,00 
GORGOS;-0.3517982068197196; 39.476.214.760.618.800,00 
SO-ADOR;-0.40392448858628544; 3.953.893.050.689.210,00 
ALBERIQUE;-0.3880195857134412; 394.664.482.441.055,00 
MICER RABASA;-0.3875510580308492; 3.945.666.997.698.040,00 
LIBRERO ESCLAPES;-0.37530264541617536; 3.949.754.203.512.380,00 
CONDE DE SALVATIERRA;-0.36741764574477; 39.468.668.104.946.800,00 
CONDE DE SALVATIERRA;-0.3674810192841128; 39.468.758.925.733.400,00 
PRIMADO REIG;-0.3657689869058214; 3.948.619.025.993.570,00 
MONESTIR DE POBLET;-0.39479023068694014; 3.948.491.623.312.880,00 
JOSE MARIA MORTES LERMA;-0.4036595026011009; 3.946.289.452.536.390,00 
PEDRO III EL GRANDE;-0.37029260846971124; 3.946.199.978.037.200,00 
BARON DE CORTES;-0.3719142396803076; 3.946.197.055.418.900,00 
SECANET;-0.4226929086391482; 3.950.053.581.055.290,00 
PIE DE LA CRUZ;-0.3800830309416645; 3.947.313.413.183.990,00 
JOAQUIN COSTA;-0.3670900091524782; 39.466.116.285.433.500,00 
CONDE DE TRENOR;-0.3756636015760637; 39.478.901.854.728.000,00 
BLANQUERIAS;-0.3765222133814545; 39.479.336.979.772.600,00 
SALVADOR GINER;-0.37989232442019555; 3.948.020.322.218.340,00 
DOCTOR SANCHIS BERGON;-0.386301070140364; 3.947.856.803.876.950,00 
SAN MIGUEL;-0.38029019198365915; 394.775.461.935.787,00 
DOCTOR COLLADO;-0.3779224164942239; 3.947.425.170.662.320,00 
APARISI Y GUIJARRO;-0.37164797421769263; 39.475.091.974.366.400,00 
ALFONSO EL MAGNANIMO;-0.3707018659636659; 3.947.257.889.479.990,00 
AYUNTAMIENTO;-0.37567443090415975; 39.469.662.259.485.000,00 
POETA ALBEROLA;-0.39310380715079674; 39.469.227.843.612.800,00 
VERA;-0.35865040130335063; 39.481.074.891.002.100,00 
COFRENTES;-0.3659633184994145; 39.485.790.496.145.700,00 
ALBEROLA;-0.37038882564139713; 39.454.602.756.839.800,00 
ADOR;-0.36247890415680123; 3.942.888.053.622.410,00 
PINTOR FERRANDIS;-0.32914904114894933; 3.947.194.911.846.930,00 
SAN PIO X;-0.389203286062577; 39.445.620.106.576.000,00 
SAGUNTO;-0.3745958533285715; 3.948.599.933.858.420,00 
DEMOCRACIA;-0.40055394175036274; 3.947.342.632.183.430,00 
CIRILO AMOROS;-0.37317264500860603; 3.946.656.089.863.300,00 
SEGORBE;-0.37626124914945563; 39.465.415.157.913.700,00 
CASTELLON;-0.3761205322137365; 3.946.524.015.601.510,00 
MANUEL SANCHIS GUARNER;-0.3753536172183313; 3.945.729.980.876.890,00 
CRUZ DEL CAgAMELAR;-0.3317790663159364; 3.946.791.117.432.160,00 
MEDITERRANEO;-0.3299853530329986; 3.946.779.053.719.280,00 
MEDITERRANEO;-0.33119360470327935; 3.946.777.257.207.450,00 
DOCTOR VICENTE ZARAGOZA;-0.363174221381167; 39.485.170.226.448.300,00 
CIUDAD DE MULA;-0.35340067313647383; 3.947.402.538.407.810,00 
NARANJOS;-0.3466950004641959; 3.948.001.872.317.440,00 
